"session","player","stage","step","round","time","timeup"
"room000121","685140631908068","game","bidder",1,1575,0
"room000121","811929102701750","game","bidder",1,4711,0
"room000121","811929102701750","game","responder",1,4730,0
"room000121","685140631908068","game","responder",1,1180,0
"room000121","811929102701750","game","bidder",2,1536,0
"room000121","685140631908068","game","bidder",2,2341,0
"room000121","811929102701750","game","responder",2,2879,0
"room000121","685140631908068","game","responder",2,1537,0
"room000121","685140631908068","game","bidder",3,4811,0
"room000121","811929102701750","game","bidder",3,7401,0
"room000121","811929102701750","game","responder",3,7413,0
"room000121","685140631908068","game","responder",3,2152,0
"room000121","811929102701750","game","bidder",4,1015,0
"room000121","685140631908068","game","bidder",4,5139,0
"room000121","811929102701750","game","responder",4,5825,0
"room000121","685140631908068","game","responder",4,1223,0
